Date,State,TotalSamples,Negative,Positive,total_positive
21-08-2020,Andhra Pradesh,3129857,2794917,,235525
22-08-2020,Andhra Pradesh,3191326,2846110,,235525
23-08-2020,Andhra Pradesh,3238038,2884927,,235525
24-08-2020,Andhra Pradesh,3292501,2930789,,235525
25-08-2020,Andhra Pradesh,3356852,2985213,,235525
26-08-2020,Andhra Pradesh,3418690,3036221,,235525
27-08-2020,Andhra Pradesh,3479990,3086900,,235525
28-08-2020,Andhra Pradesh,3541321,3137705,,235525
29-08-2020,Andhra Pradesh,3603345,3189181,,235525
30-08-2020,Andhra Pradesh,3666422,3241655,,235525
31-08-2020,Andhra Pradesh,3722912,3288141,,235525
01-09-2020,Andhra Pradesh,3782746,3337607,,235525
02-09-2020,Andhra Pradesh,3843550,3388019,,235525
03-09-2020,Andhra Pradesh,3905775,3442940,,235525
04-09-2020,Andhra Pradesh,3965694,3492083,,235525
05-09-2020,Andhra Pradesh,4035317,3547986,,235525
06-09-2020,Andhra Pradesh,4107890,3612660,,235525
07-09-2020,Andhra Pradesh,4166077,3659584,,235525
08-09-2020,Andhra Pradesh,4237070,3719976,,235525
09-09-2020,Andhra Pradesh,4308762,3781250,,235525
10-09-2020,Andhra Pradesh,4380991,3843304,,235525
11-09-2020,Andhra Pradesh,4452128,3904442,,235525
12-09-2020,Andhra Pradesh,4527593,3970006,,235525
13-09-2020,Andhra Pradesh,4599826,4032703,,235525
14-09-2020,Andhra Pradesh,4661355,4086276,,235525
15-09-2020,Andhra Pradesh,4731866,4147941,,235525
16-09-2020,Andhra Pradesh,4806879,4214119,,235525
17-09-2020,Andhra Pradesh,4884371,4282909,,235525
18-09-2020,Andhra Pradesh,4959081,4349523,,235525
19-09-2020,Andhra Pradesh,5033676,,,235525
20-09-2020,Andhra Pradesh,5104131,,,235525
21-09-2020,Andhra Pradesh,5160700,4528951,,235525
22-09-2020,Andhra Pradesh,5229529,4590227,,235525
23-09-2020,Andhra Pradesh,5302367,4655837,,235525
24-09-2020,Andhra Pradesh,5378367,4723982,,235525
25-09-2020,Andhra Pradesh,5447796,4786338,,235525
26-09-2020,Andhra Pradesh,5523786,4855035,,235525
27-09-2020,Andhra Pradesh,5600202,4924528,,235525
28-09-2020,Andhra Pradesh,5666323,4985162,,235525
29-09-2020,Andhra Pradesh,5734752,5047401,,235525
30-09-2020,Andhra Pradesh,5806558,5113074,,235525
01-10-2020,Andhra Pradesh,5878135,5177900,,235525
02-10-2020,Andhra Pradesh,5948534,5241744,,235525
03-10-2020,Andhra Pradesh,6021395,5308381,,235525
04-10-2020,Andhra Pradesh,6094206,,,235525
05-10-2020,Andhra Pradesh,6150351,5426839,,235525
06-10-2020,Andhra Pradesh,6216240,5486933,,235525
07-10-2020,Andhra Pradesh,6283009,5548582,,235525
08-10-2020,Andhra Pradesh,6349953,5610234,,235525
09-10-2020,Andhra Pradesh,6420474,5675610,,235525
10-10-2020,Andhra Pradesh,6494099,,,235525
11-10-2020,Andhra Pradesh,6569616,5813889,,235525
12-10-2020,Andhra Pradesh,6630728,5871777,,235525
13-10-2020,Andhra Pradesh,6702810,5939237,,235525
14-10-2020,Andhra Pradesh,6772273,6004808,,235525
15-10-2020,Andhra Pradesh,6846040,6074537,,235525
16-10-2020,Andhra Pradesh,6920377,6144907,,235525
17-10-2020,Andhra Pradesh,6991258,6212112,,235525
18-10-2020,Andhra Pradesh,7066203,6283071,,235525
19-10-2020,Andhra Pradesh,7127533,6341483,,235525
20-10-2020,Andhra Pradesh,7196628,6407075,,235525
21-10-2020,Andhra Pradesh,7271050,6477751,,235525
22-10-2020,Andhra Pradesh,7347776,6550857,,235525
23-10-2020,Andhra Pradesh,7428014,6627330,,235525
24-10-2020,Andhra Pradesh,7502933,,,235525
25-10-2020,Andhra Pradesh,7570352,,,235525
26-10-2020,Andhra Pradesh,7621896,,,235525
27-10-2020,Andhra Pradesh,7696653,6884828,,235525
28-10-2020,Andhra Pradesh,7773681,6958907,,235525
29-10-2020,Andhra Pradesh,7862459,7044780,,235525
30-10-2020,Andhra Pradesh,7946860,7126295,,235525
31-10-2020,Andhra Pradesh,8028905,,,235525
01-11-2020,Andhra Pradesh,8117685,,,235525
02-11-2020,Andhra Pradesh,8182266,7354384,,235525
03-11-2020,Andhra Pradesh,8266800,7436069,,235525
04-11-2020,Andhra Pradesh,8342265,7509057,,235525
05-11-2020,Andhra Pradesh,8427629,7591676,,235525
06-11-2020,Andhra Pradesh,8507230,7668867,,235525
07-11-2020,Andhra Pradesh,8587312,,,235525
08-11-2020,Andhra Pradesh,8663975,7821008,,235525
09-11-2020,Andhra Pradesh,8725025,7880666,,235525
10-11-2020,Andhra Pradesh,8792935,7946690,,235525
11-11-2020,Andhra Pradesh,8863340,8015363,,235525
12-11-2020,Andhra Pradesh,8940488,8090783,,235525
13-11-2020,Andhra Pradesh,9021225,,,235525
14-11-2020,Andhra Pradesh,9101048,,,235525
15-11-2020,Andhra Pradesh,9154263,,,235525
16-11-2020,Andhra Pradesh,9197307,8342543,,235525
17-11-2020,Andhra Pradesh,9264085,8407926,,235525
18-11-2020,Andhra Pradesh,9333703,8476308,,235525
19-11-2020,Andhra Pradesh,9408868,8550157,,235525
